순위,이름,포지션,나이,국가,팀,몸값
486,Rapha?l Guerreiro,Left-Back,29,Portugal,Bayern unich,20
487,?lvaro orata,Centre-Forward,30,Spain,Atl?tico de adrid,20
488,Granit Xhaka,Defensive idfield,30,Switzerland,Bayer 04 Leverkusen,20
489,arcel Sabitzer,Central idfield,29,Austria,Borussia Dortund,20
490,Ilkay G?ndogan,Central idfield,32,Gerany,FC Barcelona,20
491,Ivan Ilic,Central idfield,22,Serbia,Torino FC,19
492,auro Icardi,Centre-Forward,30,Argentina,Galatasaray,19
493,Eliesse Ben Seghir,Attacking idfield,18,France,AS onaco,18
494,Jo?o Goes,Central idfield,22,Brazil,Wolverhapton Wanderers,18
495,Bradley Barcola,Right Winger,21,France,Paris Saint-Gerain,18
496,Salis Abdul Saed,Defensive idfield,23,Ghana,RC Lens,18
497,Adrien Truffert,Left-Back,21,France,Stade Rennais FC,18
498,Odilon Kossounou,Centre-Back,22,Cote d'Ivoire,Bayer 04 Leverkusen,18
499,Wilfried Gnonto,Left Winger,19,Italy,Leeds United,18
500,Ilian Ndiaye,Second Striker,23,Senegal,Olypique arseille,18
